predictor,predictor_column,lag_cycles,n,route_centered_spearman,route_mean_spearman,route_min_spearman,route_max_spearman,pooled_rare_auc,route_mean_rare_auc,route_min_rare_auc,circular_shift_p,null_q025,null_q975
top-5% tail,tail_z,5,125,0.22458986175115206,0.14446153846153847,-0.2930769230769231,0.7346153846153847,0.5484848484848486,0.47539393939393937,0.0,0.24037981009495252,-0.35410153609831024,0.345384639016897
top-5% tail,tail_z,6,120,-0.3597194249600666,-0.23808695652173917,-0.7782608695652173,0.7765217391304347,0.4478792235801582,0.4132697108383607,0.06818181818181818,0.1539230384807596,-0.43098774220431973,0.4168956177512323
top-5% tail,tail_z,7,115,0.2859228280596544,0.24802371541501977,-0.2776679841897233,0.7855731225296443,0.604368932038835,0.5038059163059163,0.023809523809523836,0.08995502248875563,-0.32434624792866723,0.3133295194508006
top-5% tail,tail_z,8,110,-0.36043098978878796,-0.2551101072840204,-0.7221908526256353,0.7267080745341615,0.4967860422405877,0.32921918767506997,0.04761904761904767,0.09095452273863068,-0.40105696188264994,0.3819730405968938
cold loop memory,cold_loop_z,0,150,0.04440552913462821,0.031635150166852054,-0.7245828698553948,0.7699666295884315,0.5988888888888888,0.5680555555555555,0.125,0.7316341829085458,-0.2199572425441131,0.2672036979421306
cold loop memory,cold_loop_z,1,145,0.20688080617225635,0.1643349753694581,-0.19605911330049258,0.4857142857142856,0.7016806722689076,0.6785507246376812,0.45,0.09845077461269365,-0.2066033892300425,0.2681716461974491
cold loop memory,cold_loop_z,2,140,0.08242986158185915,0.08275862068965517,-0.49315818281335516,0.4712643678160919,0.5726495726495726,0.5838768115942028,0.16666666666666666,0.5517241379310345,-0.21914467210426192,0.26281483020270713
cold loop memory,cold_loop_z,3,135,0.10433616232562679,0.09426129426129426,-0.2216117216117216,0.49694749694749696,0.6143478260869565,0.6262265512265512,0.4545454545454546,0.4337831084457771,-0.23758572334406403,0.2580014144961467
cold loop memory,cold_loop_z,4,130,0.039582678993295005,0.02933333333333334,-0.2711111111111111,0.6013675213675214,0.5684523809523809,0.55444099378882,0.3833333333333333,0.7491254372813593,-0.22242663425692005,0.23990727717161234
cold loop memory,cold_loop_z,5,125,0.05988940092165898,-0.006769230769230772,-0.2907692307692308,0.3676923076923077,0.6103030303030303,0.5112424242424243,0.16666666666666663,0.6186906546726637,-0.22638033794162818,0.24138371735791073
cold loop memory,cold_loop_z,6,120,0.08845753177303979,0.04191304347826087,-0.2826086956521739,0.5930434782608696,0.5521207764198419,0.45343509465363013,0.26086956521739135,0.487256371814093,-0.22795680255573303,0.222571185498993
cold loop memory,cold_loop_z,7,115,0.1242562929061785,0.03992094861660078,-0.17490118577075098,0.3221343873517787,0.7119741100323624,0.708375104427736,0.368421052631579,0.34182908545727136,-0.2201073147636708,0.24576244772350656
cold loop memory,cold_loop_z,8,110,0.1768906521200099,0.1012987012987013,-0.233201581027668,0.4918125352907962,0.7410468319559229,0.7551937441643324,0.5277777777777778,0.14642678660669664,-0.22317990217072786,0.23053873723598484
