predictor,predictor_column,lag_cycles,bins,n,target_entropy_bits,route_mi_bits,predictor_mi_bits,joint_route_predictor_mi_bits,predictor_given_route_mi_bits,route_given_predictor_mi_bits,null_median_predictor_given_route_mi_bits,corrected_predictor_given_route_mi_bits,corrected_predictor_given_route_norm,bootstrap_median_corrected_bits,bootstrap_q025_corrected_bits,bootstrap_q975_corrected_bits,shift_p
loop activation,loop_z,4,2,130,1.0,0.49410170989811536,0.004272547915074441,0.6037947391898397,0.10969302929172459,0.5995221912747655,0.07952924640011566,0.030163782891608926,0.030163782891608926,0.034479152920557615,-0.033418089151794526,0.13557944222603788,0.1760299625468165
loop activation,loop_z,4,3,130,1.5848773505329043,0.906116204587619,0.07527546199135157,1.2238205680574945,0.3177043634698754,1.1485451060661431,0.2442303712830034,0.073473992186872,0.04635941838790672,0.08638203657932053,-0.0431252205862384,0.199353827670401,0.0686641697877653
loop activation,loop_z,4,4,130,1.9998292601233936,1.0739237533495178,0.1560158376147494,1.3770245299042487,0.3031007765547308,1.221008692289499,0.230158601247334,0.07294217530739677,0.036474201454026176,0.13593354049942297,0.013441216439309435,0.2774433483069454,0.06367041198501873
loop activation,loop_z,4,5,130,2.321928094887362,1.3444440397389388,0.28977311692957647,1.7507487589946205,0.40630471925568123,1.4609756420650437,0.35144063269225656,0.054864086563424674,0.023628675962976433,0.11182329232094973,-0.0283596649727192,0.2790922191959445,0.14856429463171036
loop activation,loop_z,6,2,120,1.0,0.511766139448272,0.000801645736360268,0.5811951195975362,0.069428980149264,0.5803934738611758,0.07141041137530255,-0.001981431226038541,-0.001981431226038541,0.025376606244874526,-0.04010893257621211,0.13884928405641717,0.5218476903870163
loop activation,loop_z,6,3,120,1.584962500721156,0.9543209999682247,0.08190585616367439,1.2938578919539883,0.3395368919857635,1.2119520357903135,0.22389483412254774,0.11564205786321574,0.07296201507013493,0.09811100750082341,-0.03568610378355007,0.21144992966355414,0.00749063670411985
loop activation,loop_z,6,4,120,2.0,1.1224525048414884,0.16866290872145537,1.3972707277801915,0.2748182229387033,1.2286078190587364,0.21798939763418332,0.056828825304519964,0.028414412652259982,0.15079701314213043,0.024453490947613832,0.30447707822964354,0.07740324594257178
loop activation,loop_z,6,5,120,2.321928094887362,1.3265365752877853,0.3801798857415038,1.8701530998159903,0.5436165245282053,1.4899732140744864,0.37369686181517875,0.16991966271302655,0.07318041548623815,0.17537112330691934,0.006187816608610535,0.3327826167831996,0.004993757802746567
top-5% tail,tail_z,0,2,150,1.0,0.5112287620450551,0.02178233406457525,0.5842262202078075,0.07299745816275222,0.5624438861432322,0.05067931195871845,0.022318146204033766,0.022318146204033766,0.019393409619235802,-0.03254899666305875,0.10211519050147261,0.17103620474406991
top-5% tail,tail_z,0,3,150,1.584962500721156,0.9498814308883972,0.05554156152985236,1.1999890538613094,0.2501076229729123,1.144447492331457,0.168829458141459,0.08127816483145328,0.05128081250784912,0.08944158065768562,-0.00357009048999388,0.17844813893574007,0.008739076154806492
