regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_response_asinh,overload_readout_projection,post_map_output_projection,dangerous_input_projection
R6,30,-0.1077851566054686,-0.3773013969180492,2.4084708037335725,1.0186817509993162,-0.2536906743597063,-0.15658167185511876,-0.3322810016608795
R6c,1,-0.2754025104558324,2.7089521858398538,48.61223395953652,3.8842981225655997,1.5807557978520568,1.3242874903928663,2.672782831087365
R6c,2,-0.2098969217089957,2.546931153472051,28.201330426791397,3.3406241536213845,1.490848549697534,1.2472872379025357,2.517374768760586
R6c,3,-0.0151018284010076,2.1535881930603806,19.78397607397927,2.9874174786021053,1.275960412840517,1.061959694771102,2.1433319125055976
R6c,4,1.7683135269719954,1.165692302317534,13.856200700454478,2.633901096592984,0.8586460658392351,0.6546923654750466,1.321352445583069
R6c,5,0.4053756749471209,1.3590718767406478,12.635032413059328,2.5426791923996634,0.8444604747672577,0.6888296578827205,1.3902510568808106
R6c,6,2.4100825935151367,0.3254415112674467,8.869684197764135,2.195114575187837,0.42094564332366163,0.2689455763963028,0.5428074525386346
R6c,7,4.09843299130638,-0.7956890925373972,6.46070846378988,1.8888785849294447,-0.08438602527281007,-0.20833774840421881,-0.42048389118060847
R6c,8,-0.2424572138704173,-0.2003683987300176,5.220889912700941,1.6874861180462877,-0.14177557977945657,-0.10976873355974731,-0.2215440292059686
R6c,9,-0.3993024635102596,-1.1338703824156755,3.618283745106838,1.3548718296999107,-0.7103091757686849,-0.5774360758901985,-1.1654276287333394
R6c,10,-0.432919023706478,-1.3076992218296348,3.337165114520227,1.2847809639269612,-0.8165937423368083,-0.6647194237531219,-1.3415898558179127
R6c,11,-0.3615051012805463,-1.0319644468620426,3.3602994292629385,1.290712068663024,-0.646289906974323,-0.5254534554941659,-1.060512150547987
R6c,12,-0.4223870798641701,-0.7854160398661246,3.2005218303594845,1.2491216045660816,-0.5058084931819258,-0.4065372179191297,-0.8205058978016347
R6c,13,-0.3377801585397438,-0.2935440657563071,5.6020832216141505,1.7535791749570409,-0.2060565038999218,-0.16003011111592572,-0.3229855575549984
R6c,14,-0.349221690411318,0.0481409055979148,6.081875069256289,1.831313160045602,-0.004469995235345819,0.00805206087057115,0.01625131265368093
R6c,15,-0.2909234195362545,-0.1726367748356464,4.480016410848932,1.5460923637193849,-0.12990998070937498,-0.09826437316347475,-0.1983250097914782
