run,tag,regime_id,cycle,phase,n_contacts,first_cycle_edge_fraction,first_cycle_force_fraction,beta1_birth_density_5pct,beta1_birth_density_10pct,loop_force_share_5pct,loop_force_share_10pct,beta1_birth_area,loop_force_persistence_area,giant_component_area,total_beta1_birth_density,total_loop_force_share,top5_force_share
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,29,cold,14964,0.0001336541031809,0.0008133981764007,0.4939919893190921,0.4969939879759519,0.0762979666481239,0.1332716018059475,0.561072701484608,0.3848426213459259,0.4784057556699066,0.6624565624164662,0.5807505718301145,0.1544680834341104
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,29,hot,20870,9.583133684714902e-05,0.0015915036345695,0.5134099616858238,0.5481552467656924,0.157348714863497,0.2475837670938574,0.6054574235876233,0.4636214115448153,0.4481932717678101,0.6546717776712985,0.5927514456220904,0.3086409180079044
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,30,cold,14868,0.0001345170836696,0.0009903041987262,0.4946236559139785,0.4942837928715534,0.0765836950710812,0.1315919238671713,0.5605513812249837,0.3835921787160471,0.4673729453995843,0.6596045197740112,0.5815213479501908,0.1548670069952733
G3_buffered_low_expansion_high_friction,a050_mu060_g020,G3,30,hot,20905,9.567089213106912e-05,0.0014949314665471,0.5066921606118547,0.5380200860832137,0.1465445755823656,0.2333468906069835,0.6042457744601977,0.4592968986157721,0.4534559310801855,0.6559196364506099,0.5933196374951762,0.2902033699525598
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,cold,16662,0.0001200336094106,0.0012068429340627,0.4952038369304556,0.4913017396520696,0.0849753792533774,0.1422896697706532,0.5615299565508916,0.3899897062046442,0.4487918900804289,0.6612051374384827,0.5772652476345654,0.172052150085615
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,hot,7243,0.0002761286759629,0.0048436598251641,0.4876033057851239,0.4896551724137931,0.1339183397844692,0.2000846163750653,0.4839270396514374,0.376775933905409,0.015765475695887,0.5014496755488057,0.4864989869392386,0.2756554538484583
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,25857,7.73484936380864e-05,0.0004442564291318,0.4972931167826759,0.4988399071925754,0.0771127042405151,0.1327908152313472,0.607858375950222,0.4135926607055651,0.5378510521248796,0.7261089840275361,0.6383273569603629,0.155120833567416
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,22329,8.956961798557929e-05,0.0035549360385306,0.495076096687556,0.4970891177787729,0.1331923819099268,0.1966766982690567,0.5597617078665198,0.4058222696423489,0.4499502969274463,0.6691746159702628,0.5576412706859248,0.2703582165826848
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,21770,9.186954524575104e-05,0.0005428807531139,0.4940312213039485,0.4965548920532843,0.075321523469642,0.1313093046867399,0.5984040659601215,0.4072840503633629,0.5166579069407945,0.7144235186035829,0.6270775069334835,0.1524480692984011
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,22529,8.877446846287007e-05,0.005328788512337,0.4960070984915705,0.507323568575233,0.1447254324250199,0.2140063103984143,0.5726386206770139,0.4227230702389536,0.4463567229038854,0.6687380709308003,0.5635984112266039,0.2925271500782717
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,22331,8.95615959876405e-05,0.0006914291333635,0.4959713518352731,0.4968666069829902,0.074385817536883,0.1288987883475312,0.6000786423088796,0.4065444012920017,0.5195811885821244,0.7211499708924813,0.6328304677853313,0.1499820214942879
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,21001,9.523356030665208e-05,0.0078954871198499,0.5033301617507137,0.5073774393146121,0.1398492321625266,0.2094092849121344,0.572226595255978,0.423149438631442,0.4211049504950495,0.6586353030808056,0.5641682540628358,0.2809508352334985
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,21823,9.164642808046556e-05,0.0005420590226485,0.4954212454212454,0.4988547869903802,0.073941650871149,0.1294274583681721,0.5992170973452269,0.4069741143745904,0.5121635676016388,0.7187371122210512,0.6300397481750608,0.1493042743191577
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,22304,8.96700143472023e-05,0.0033760174592241,0.5089605734767025,0.5275661138502914,0.1456542558769967,0.2223494949313804,0.5888817093523828,0.4384445901701579,0.4488619524242818,0.6710007173601148,0.5790476544170935,0.289318244754579
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,22537,8.874295602786528e-05,0.0005283686623203,0.4951197870452529,0.497338065661047,0.0747856056703453,0.1304161643150717,0.6007020900134583,0.408187937403787,0.512356490793749,0.7212583751164752,0.6316087001253426,0.151055371950648
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,20857,9.589106774703936e-05,0.0019220809144757,0.5091083413231065,0.5254074784276127,0.1439867863407052,0.2208050602636979,0.5820687252590303,0.43424795322311,0.4209427542033626,0.6625113870642949,0.5738197637902611,0.2851480481126415
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,cold,22121,9.04118258668234e-05,0.0005526350830702,0.4941282746160795,0.4975146859466787,0.0734307387881755,0.1288279687217617,0.6015488714548582,0.4072296137576838,0.5343059512503957,0.7233850187604539,0.634215708471902,0.1485300371700439
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,hot,20360,0.0001473477406679,0.0042295632673666,0.5108055009823183,0.519155206286837,0.1440651913703995,0.2179141754896058,0.5749338861281251,0.4289860243740061,0.4183701290065168,0.6546660117878192,0.5662912672514553,0.2861473077551307
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,cold,22400,8.928571428571429e-05,0.000510853222168,0.49375,0.4964285714285714,0.0760525272249495,0.1314407005372131,0.6021908482142857,0.4082415101391295,0.5290686735653809,0.7233482142857143,0.6327066045862979,0.153913747922985
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,hot,20464,9.77326035965598e-05,0.0026758894168653,0.509765625,0.5334636052760137,0.1461065076604485,0.2260632652775537,0.5828732127958558,0.4381953095220562,0.410617819930537,0.6572028928850665,0.5746267497163013,0.2889060770102942
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,cold,22145,9.031384059607136e-05,0.0005914668926769,0.4981949458483754,0.4975169300225733,0.0749981399999344,0.1296339780995733,0.5998534123845815,0.4066872721907957,0.523140359168242,0.7216979002032061,0.6315107237782389,0.1507318212892449
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,hot,21077,0.0001423352469516,0.0029983914221025,0.5113851992409867,0.536527514231499,0.1469217090790513,0.2293086282806008,0.5892638622875125,0.443779930829909,0.4130495335698331,0.6618588983251886,0.5799838594415937,0.2886549550965779
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,cold,21676,9.226794611551948e-05,0.0005731105337769,0.4972324723247232,0.4953874538745387,0.0735382526890753,0.1282500400439994,0.5987766879299531,0.4059994136771037,0.5256356751530777,0.7212585347850157,0.6306273598162998,0.1480647656979675
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,hot,21513,9.296704318319157e-05,0.0021618541068924,0.5130111524163569,0.5385687732342007,0.1514236285174869,0.2342429384422178,0.5936616639738779,0.4483463164852446,0.4266989909579347,0.6655975456700599,0.5837682810431576,0.2967282812982165
R1_low_expansion_low_friction,a050_mu010_g002,R1,11,cold,22061,9.065772177145187e-05,0.0005508254381879,0.4963768115942029,0.4956955142727685,0.0748671529012071,0.1294573428923082,0.6016707895081742,0.4078931759559229,0.5220093680533503,0.7232219754317574,0.633891624435229,0.1509011234208013
