group,tier,bytes,mb,path
atom_dump,archive_required,1855779,1.770,runs/contact_force_probe/a150_mu060_g020/cycle_10_hot.dump
atom_dump,archive_required,1855625,1.770,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_7_hot.dump
atom_dump,archive_required,1856323,1.770,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_29_hot.dump
atom_dump,archive_required,1855779,1.770,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_10_hot.dump
atom_dump,archive_required,1854524,1.769,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_10_hot.dump
atom_dump,archive_required,1854599,1.769,runs/stiffness_sensitivity/E5e8/a150_mu060_g020/cycle_3_hot.dump
atom_dump,archive_required,1854335,1.768,runs/contact_force_probe/a100_mu060_g000/cycle_4_hot.dump
atom_dump,archive_required,1854030,1.768,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_11_hot.dump
atom_dump,archive_required,1854152,1.768,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_9_hot.dump
atom_dump,archive_required,1854152,1.768,runs/regime_matrix_10k/a150_mu060_g020/cycle_9_hot.dump
atom_dump,archive_required,1853612,1.768,runs/stiffness_sensitivity/E5e8/a150_mu060_g020/cycle_1_hot.dump
atom_dump,archive_required,1853205,1.767,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_11_hot.dump
atom_dump,archive_required,1853260,1.767,runs/regime_matrix_10k/a050_mu030_g020/cycle_3_hot.dump
atom_dump,archive_required,1853133,1.767,runs/stiffness_sensitivity/E5e8/a100_mu030_g002/cycle_1_hot.dump
atom_dump,archive_required,1852043,1.766,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_12_hot.dump
atom_dump,archive_required,1851927,1.766,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_13_hot.dump
atom_dump,archive_required,1851507,1.766,runs/regime_matrix_10k/a100_mu060_g000/cycle_4_hot.dump
atom_dump,archive_required,1850941,1.765,runs/contact_force_probe/a100_mu030_g002/cycle_3_hot.dump
atom_dump,archive_required,1850303,1.765,runs/contact_force_probe/a100_mu060_g000/cycle_8_hot.dump
atom_dump,archive_required,1850821,1.765,runs/contact_force_probe/a150_mu060_g020/cycle_7_hot.dump
atom_dump,archive_required,1851053,1.765,runs/contact_force_probe/a150_mu060_g020/cycle_9_hot.dump
atom_dump,archive_required,1850941,1.765,runs/long_cycle_force_probe/a100_mu030_g002_c30/cycle_3_hot.dump
atom_dump,archive_required,1850821,1.765,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_7_hot.dump
atom_dump,archive_required,1851053,1.765,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_9_hot.dump
atom_dump,archive_required,1851084,1.765,runs/regime_matrix_10k/a100_mu060_g002/cycle_4_hot.dump
atom_dump,archive_required,1850710,1.765,runs/regime_matrix_10k/a100_mu060_g002/cycle_6_hot.dump
atom_dump,archive_required,1851014,1.765,runs/regime_matrix_10k/a100_mu060_g020/cycle_3_hot.dump
atom_dump,archive_required,1850040,1.764,runs/contact_force_probe/a150_mu010_g002/cycle_4_hot.dump
atom_dump,archive_required,1849339,1.764,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_11_hot.dump
atom_dump,archive_required,1850034,1.764,runs/long_cycles_10k/a100_mu030_g002_c30/cycle_3_hot.dump
atom_dump,archive_required,1850034,1.764,runs/regime_matrix_10k/a100_mu030_g002/cycle_3_hot.dump
atom_dump,archive_required,1849554,1.764,runs/regime_matrix_10k/a150_mu010_g000/cycle_4_hot.dump
atom_dump,archive_required,1849744,1.764,runs/regime_matrix_10k/a150_mu010_g002/cycle_3_hot.dump
atom_dump,archive_required,1849408,1.764,runs/stiffness_sensitivity/E1e9/a150_mu060_g020/cycle_2_hot.dump
atom_dump,archive_required,1848489,1.763,runs/contact_force_probe/a100_mu030_g002/cycle_5_hot.dump
atom_dump,archive_required,1848795,1.763,runs/contact_force_probe/a100_mu060_g000/cycle_2_hot.dump
atom_dump,archive_required,1848489,1.763,runs/long_cycle_force_probe/a100_mu030_g002_c30/cycle_5_hot.dump
atom_dump,archive_required,1848956,1.763,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_9_hot.dump
atom_dump,archive_required,1848475,1.763,runs/regime_matrix_10k/a050_mu030_g002/cycle_3_hot.dump
atom_dump,archive_required,1848427,1.763,runs/regime_matrix_10k/a100_mu060_g000/cycle_5_hot.dump
atom_dump,archive_required,1849056,1.763,runs/regime_matrix_10k/a100_mu060_g002/cycle_5_hot.dump
atom_dump,archive_required,1848525,1.763,runs/regime_matrix_10k/a100_mu060_g020/cycle_5_hot.dump
atom_dump,archive_required,1849119,1.763,runs/stiffness_sensitivity/E1e9/a150_mu060_g020/cycle_1_hot.dump
