perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05133385903832416,-0.6397629609502089,-0.0480966680837021
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05192892275085592,-0.6397629609502089,-0.0480966680837021
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.0508755906352894,-0.6397629609502089,-0.0480966680837021
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05450763992594765,-0.6397629609502089,-0.0480966680837021
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05486456784085003,-0.6397629609502089,-0.0480966680837021
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05475542612680273,-0.6397629609502089,-0.0480966680837021
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05506997507059169,-0.6397629609502089,-0.0480966680837021
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05416251487665974,-0.6397629609502089,-0.0480966680837021
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05324772329169497,-0.6397629609502089,-0.0480966680837021
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05030147006197205,-0.6397629609502089,-0.0480966680837021
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.0500807387474132,-0.6397629609502089,-0.0480966680837021
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.050634262340961356,-0.6397629609502089,-0.0480966680837021
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05196376739367198,-0.6397629609502089,-0.0480966680837021
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.0532247204288831,-0.6397629609502089,-0.0480966680837021
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05307093777852395,-0.6397629609502089,-0.0480966680837021
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.050911640795060165,-0.6397629609502089,-0.0480966680837021
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.05147063562705212,-0.6397629609502089,-0.0480966680837021
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.050386605682482655,-0.6397629609502089,-0.0480966680837021
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04350728249621899,-0.5959548111117786,-0.0257654452831076
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.04203693900090527,-0.5959548111117786,-0.0257654452831076
