run,tag,regime_id,cycle,phase,n_contacts,edge_fraction,rank,beta1_birth_density,loop_force_share_partial,giant_component_fraction,added_force_fraction
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.02,128,0.484375,0.121974626723144,0.0006535947712418,0.2513110350898511
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.05,319,0.4796238244514106,0.1874744029901919,0.0015250544662309,0.387935014817688
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.1,637,0.4866562009419152,0.2563143755871498,0.0015250544662309,0.5265614531680285
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.2,1273,0.4854673998428908,0.33747617993603,0.0015250544662309,0.6934790054456578
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.4,2545,0.4833005893909626,0.4235439851862132,0.0030501089324618,0.8706565846512656
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.8,5089,0.4822165454902731,0.4813830787353843,0.0174291938997821,0.991408104319942
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,1.0,6361,0.5000786039930829,0.4860017770423926,0.0305010893246187,1.000000000000006
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.01,67,0.4925373134328358,0.0217045286327399,0.0008134490238611,0.044246719514782
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.02,133,0.4887218045112781,0.0386694940853912,0.0008134490238611,0.0793278966042798
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.05,331,0.4833836858006042,0.0814567807231302,0.0013557483731019,0.16863088348269
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.1,661,0.4856278366111952,0.1417130422692772,0.0021691973969631,0.2920987198331543
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.2,1322,0.4931921331316187,0.2374998962665767,0.0043383947939262,0.4839111560528653
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.4,2643,0.492622020431328,0.3645902422059537,0.0363340563991323,0.742976469905626
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.8,5285,0.5154210028382213,0.4892487228884205,0.3796095444685466,0.978303931478158
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,1.0,6606,0.5361792310021193,0.5019349851588436,0.5772776572668112,0.9999999999999948
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.01,171,0.4853801169590643,0.0370520409422367,0.0004268639726807,0.0765797702748854
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.02,342,0.4853801169590643,0.062970034017816,0.0005691519635742,0.1299667932464203
