predictor,predictor_column,lag_cycles,bins,n,observed_mi_bits,null_median_mi_bits,null_q025_mi_bits,null_q975_mi_bits,bias_corrected_mi_bits,bias_corrected_normalised_mi,bootstrap_median_corrected_mi_bits,bootstrap_q025_corrected_mi_bits,bootstrap_q975_corrected_mi_bits,circular_shift_p
top-5% tail,tail_z,2,4,140,0.12211506854238083,0.11367595855663384,0.03237615672981678,0.23855996951182823,0.008439109985746984,0.004219554992873492,0.054912748279191806,-0.04398400096179364,0.19779557466887868,0.4397068620919387
top-5% tail,tail_z,2,5,140,0.2472686178725531,0.16670174337487403,0.07701917659440935,0.3143647188615441,0.08056687449767908,0.034698264203391456,0.14233636408558595,0.009806507225461157,0.30155369163497064,0.1245836109260493
top-5% tail,tail_z,4,2,130,0.03876339527712422,0.0138739153697617,0.0001707398766064,0.0923038346391617,0.024889479907362518,0.024889479907362518,0.024889479907362518,-0.012336771098144258,0.09563444441074702,0.24850099933377748
top-5% tail,tail_z,4,3,130,0.0341368892187423,0.05851700615002535,0.007260175684981191,0.1630605064596822,-0.02438011693128305,-0.015382967598776902,0.002965943643437559,-0.04174072425323518,0.07999810886638875,0.7341772151898734
top-5% tail,tail_z,4,4,130,0.08050626471965647,0.10324558751655921,0.02781487356763365,0.23370395281838374,-0.022739322796902744,-0.011370632108612952,0.031246040628337107,-0.04267289192747248,0.15280241253564364,0.6862091938707529
top-5% tail,tail_z,4,5,130,0.12026811179940484,0.17469429835422115,0.07946408974967428,0.31995296231949477,-0.054426186554816305,-0.02344008269448867,0.04594400975499485,-0.06037922094882621,0.20597497015953203,0.8474350433044637
top-5% tail,tail_z,6,2,120,0.0396377296845222,0.0201312433488472,0.0,0.0992803201376407,0.019506486335674998,0.019506486335674998,0.019506486335674998,-0.016922875330483818,0.0985778574204601,0.34776815456362425
top-5% tail,tail_z,6,3,120,0.10143364793125467,0.060380848800462905,0.010773163362054743,0.16184890846606947,0.04105279913079177,0.025901432439008994,0.05798840887478644,-0.020464503737059526,0.1746197780941852,0.2171885409726849
top-5% tail,tail_z,6,4,120,0.13980380617791252,0.1045706241049929,0.030232668361074924,0.23939530503755332,0.03523318207291962,0.01761659103645981,0.08525536059851875,-0.010755263305016687,0.22936077293748747,0.2618254497001999
top-5% tail,tail_z,6,5,120,0.19781679895002838,0.159802502328714,0.07249023433243212,0.28624327449709747,0.038014296621314364,0.016371866426448688,0.12352435885820442,0.006427602818720324,0.2800512570285583,0.2691538974017322
cold loop memory,cold_loop_z,0,2,150,0.0011544640047981974,0.006292893395492,0.000128243359151,0.0689441766149671,-0.005138429390693803,-0.005138429390693803,-0.003084525377128617,-0.006164650036340921,0.022756512149839363,0.7368421052631579
cold loop memory,cold_loop_z,0,3,150,0.06721701666622584,0.0242725428379421,0.0045830374588495,0.08471666961352052,0.042944473828283744,0.027094946289734967,0.035309319861991185,-0.0122144918861424,0.1145046418625363,0.06728847435043304
cold loop memory,cold_loop_z,0,4,150,0.05126280597109774,0.07011207370418655,0.02312538973008254,0.16094641519752378,-0.018849267733088815,-0.009425238228650027,0.021228670648202864,-0.04022673833837121,0.12134078759306975,0.7514990006662225
cold loop memory,cold_loop_z,0,5,150,0.10073945448435417,0.13462851003199228,0.07013649299403431,0.22933612562653127,-0.0338890555476381,-0.014595221799614805,0.03951429838542907,-0.048432620431752754,0.1669134037640275,0.810126582278481
cold loop memory,cold_loop_z,2,2,140,0.005306204638694162,0.0094422995924737,0.0,0.086539854743037,-0.004136094953779538,-0.004136094953779538,-0.004136094953779538,-0.0094422995924737,0.038795024772695225,0.5796135909393737
cold loop memory,cold_loop_z,2,3,140,0.05052300110928132,0.0226441727792318,0.0032543613431023,0.0832782127496298,0.027878828330049517,0.01759040116605303,0.01637254661526446,-0.015783310299163477,0.08850566432294892,0.13524317121918722
cold loop memory,cold_loop_z,2,4,140,0.06674710423033342,0.07216608585415055,0.029912779572856187,0.16309283562604637,-0.005418981623817126,-0.002709490811908563,0.027537067376478284,-0.03623673210619626,0.13151231396755705,0.5689540306462358
cold loop memory,cold_loop_z,2,5,140,0.07898278964796109,0.12896244737673584,0.06791128540022938,0.22176249357719496,-0.04997965772877476,-0.02152506696431497,0.04982549418657767,-0.03706416010207784,0.16997393220130155,0.9320453031312458
cold loop memory,cold_loop_z,4,2,130,0.01387391536976175,0.0138739153697617,0.0001707398766064,0.076661111005557,5.0306980803327406e-17,5.0306980803327406e-17,5.0306980803327406e-17,-0.013703175493155232,0.06278719563579534,0.4010659560293138
cold loop memory,cold_loop_z,4,3,130,0.02825974988706073,0.0245377589063466,0.0037488670092262,0.09769997490641337,0.0037219909807141294,0.002348441019402943,0.015646850955822297,-0.0176072596583437,0.09545153923817443,0.4417055296469021
cold loop memory,cold_loop_z,4,4,130,0.07559251845528969,0.07576436783310911,0.022667095169991,0.17191491202367076,-0.00017184937781941634,-8.593202492137398e-05,0.04112577035713143,-0.029186742487174785,0.1443558293478649,0.5023317788141239
cold loop memory,cold_loop_z,4,5,130,0.14115878475983346,0.13337295715759878,0.06347598214461758,0.25573678487058277,0.007785827602234674,0.0033531734334832485,0.07744583112254179,-0.025028026627651398,0.20365810260680514,0.44103930712858097
cold loop memory,cold_loop_z,6,2,120,0.029049405545331364,0.0128622256278137,0.0,0.0992803201376407,0.016187179917517662,0.016187179917517662,0.026775504056708498,-0.012060579891453432,0.1058468751414936,0.2598267821452365
cold loop memory,cold_loop_z,6,3,120,0.03819524876382106,0.036455522843848356,0.0036716014904636,0.1320585380649673,0.0017397259199727066,0.001097644845970257,0.013608019769956323,-0.027474639962328556,0.1009943048086475,0.46768820786142573
cold loop memory,cold_loop_z,6,4,120,0.10044505569712116,0.08350008969130895,0.0209873477025324,0.18660381778476426,0.016944966005812204,0.008472483002906102,0.06413043143196553,-0.01980701323004715,0.18549558438209912,0.3864090606262492
cold loop memory,cold_loop_z,6,5,120,0.13304256738050485,0.13988582612853367,0.06683458407241198,0.2904728905554739,-0.006843258748028824,-0.002947231123606691,0.0855998866695139,-0.022649734971967282,0.23369315942398738,0.5496335776149234
