tag,label,phase,force_over_mean,ccdf
a050_mu010_g002,memory-rich,cold,0.8631939417442179,0.496410071942446
a050_mu010_g002,memory-rich,cold,0.8688649956296763,0.49282014388489204
a050_mu010_g002,memory-rich,cold,0.875122755653358,0.48923021582733817
a050_mu010_g002,memory-rich,cold,0.8810291653225423,0.4856402877697842
a050_mu010_g002,memory-rich,cold,0.8866331547295063,0.4820503597122302
a050_mu010_g002,memory-rich,cold,0.894134471161876,0.4784604316546762
a050_mu010_g002,memory-rich,cold,0.9004866180427286,0.47487050359712235
a050_mu010_g002,memory-rich,cold,0.9061538214451537,0.47128057553956837
a050_mu010_g002,memory-rich,cold,0.9144559595576196,0.4676906474820144
a050_mu010_g002,memory-rich,cold,0.9211749479359672,0.4641007194244604
a050_mu010_g002,memory-rich,cold,0.9284811566365251,0.4605107913669064
a050_mu010_g002,memory-rich,cold,0.9346747014252231,0.45692086330935255
a050_mu010_g002,memory-rich,cold,0.9410453072984863,0.4533309352517986
a050_mu010_g002,memory-rich,cold,0.9475473182680824,0.4497410071942446
a050_mu010_g002,memory-rich,cold,0.9541036696381268,0.4461510791366906
a050_mu010_g002,memory-rich,cold,0.9623120136927493,0.44256115107913674
a050_mu010_g002,memory-rich,cold,0.9693938009210552,0.43897122302158276
a050_mu010_g002,memory-rich,cold,0.976599793160551,0.4353812949640288
a050_mu010_g002,memory-rich,cold,0.9843698615346321,0.4317913669064748
a050_mu010_g002,memory-rich,cold,0.9905908054585797,0.4282014388489208
a050_mu010_g002,memory-rich,cold,0.9977236878886785,0.42461151079136694
a050_mu010_g002,memory-rich,cold,1.0053478086164025,0.42102158273381296
a050_mu010_g002,memory-rich,cold,1.0121121641269706,0.417431654676259
a050_mu010_g002,memory-rich,cold,1.0197022003482203,0.413841726618705
a050_mu010_g002,memory-rich,cold,1.0262520524406362,0.4102517985611511
a050_mu010_g002,memory-rich,cold,1.0319929114236646,0.40666187050359714
a050_mu010_g002,memory-rich,cold,1.0387503426666767,0.40307194244604316
a050_mu010_g002,memory-rich,cold,1.0452238326828256,0.3994820143884892
a050_mu010_g002,memory-rich,cold,1.053071784331347,0.3958920863309352
a050_mu010_g002,memory-rich,cold,1.0599025513080695,0.39230215827338133
a050_mu010_g002,memory-rich,cold,1.06842503525202,0.38871223021582735
a050_mu010_g002,memory-rich,cold,1.0755348362683432,0.38512230215827337
a050_mu010_g002,memory-rich,cold,1.0825451561356496,0.3815323741007194
a050_mu010_g002,memory-rich,cold,1.092537043865114,0.3779424460431655
a050_mu010_g002,memory-rich,cold,1.0992016086685472,0.37435251798561153
a050_mu010_g002,memory-rich,cold,1.105626256923259,0.37076258992805755
a050_mu010_g002,memory-rich,cold,1.111340430861097,0.36717266187050357
a050_mu010_g002,memory-rich,cold,1.1197121775471572,0.3635827338129496
a050_mu010_g002,memory-rich,cold,1.1270719455990155,0.3599928057553957
a050_mu010_g002,memory-rich,cold,1.134148670198815,0.35640287769784174
a050_mu010_g002,memory-rich,cold,1.1433026995967588,0.35281294964028775
a050_mu010_g002,memory-rich,cold,1.1511777407793635,0.3492230215827338
a050_mu010_g002,memory-rich,cold,1.159566063650527,0.3456330935251799
a050_mu010_g002,memory-rich,cold,1.1675275081169256,0.3420431654676259
a050_mu010_g002,memory-rich,cold,1.1755546166320345,0.33845323741007194
a050_mu010_g002,memory-rich,cold,1.1820908077426293,0.33486330935251796
a050_mu010_g002,memory-rich,cold,1.1908176024585218,0.331273381294964
a050_mu010_g002,memory-rich,cold,1.1999289915088311,0.3276834532374101
a050_mu010_g002,memory-rich,cold,1.2065938757352377,0.3240935251798561
a050_mu010_g002,memory-rich,cold,1.2136685463761898,0.32050359712230214
a050_mu010_g002,memory-rich,cold,1.222166085476645,0.31691366906474816
