run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R1_low_expansion_low_friction,10,cold_to_hot,15853,10221,2070,0.5632816941444002,0.6080003068190535,0.3919996931809465,0.11549405791441165
R1_low_expansion_low_friction,11,cold_to_hot,15769,10252,2143,0.559899162050845,0.6060105299565736,0.39398947004342644,0.11964046449307726
R1_low_expansion_low_friction,12,cold_to_hot,16045,10170,2069,0.5672818554659879,0.6120541674613771,0.3879458325386229,0.11422104449596997
R1_low_expansion_low_friction,13,cold_to_hot,15843,10307,2091,0.5609928826882901,0.6058508604206501,0.3941491395793499,0.11659417865506859
R1_low_expansion_low_friction,14,cold_to_hot,15891,10238,2173,0.5614797540809837,0.6081748249071912,0.39182517509280873,0.12029450841452613
R1_low_expansion_low_friction,15,cold_to_hot,15797,10428,2095,0.5578036723163842,0.6023641563393708,0.39763584366062915,0.11709143751397273
R1_low_expansion_low_friction,16,cold_to_hot,15885,10290,2138,0.5610496944866316,0.6068767908309456,0.39312320916905447,0.11862619985573988
R1_low_expansion_low_friction,17,cold_to_hot,15964,10227,2139,0.5635015884221674,0.6095223550074453,0.3904776449925547,0.1181572115119041
R1_low_expansion_low_friction,18,cold_to_hot,15958,10255,2197,0.5617036254839846,0.6087819021096402,0.3912180978903598,0.12101349490498485
R1_low_expansion_low_friction,19,cold_to_hot,16184,10146,2115,0.5689576375461417,0.6146600835548803,0.3853399164451196,0.11558008634351603
R1_low_expansion_low_friction,20,cold_to_hot,15981,10414,2132,0.5602061205174046,0.6054555787080886,0.39454442129191136,0.11770551537569701
R1_low_expansion_low_friction,21,cold_to_hot,16023,10340,2148,0.5619936164988951,0.6077836361567348,0.3922163638432652,0.1182103351494139
R1_low_expansion_low_friction,22,cold_to_hot,16160,10272,2137,0.5656480800868073,0.6113801452784504,0.38861985472154964,0.1167951030223534
R1_low_expansion_low_friction,23,cold_to_hot,15890,10475,2188,0.5565089482716352,0.6026929641570263,0.39730703584297367,0.12103108750968028
R1_low_expansion_low_friction,24,cold_to_hot,16048,10246,2179,0.5636216766761494,0.610329352704039,0.38967064729596107,0.11954792341032534
R1_low_expansion_low_friction,25,cold_to_hot,16016,10417,2154,0.5602546612096407,0.6059092800665834,0.39409071993341654,0.11854705558613099
R1_low_expansion_low_friction,26,cold_to_hot,16106,10275,2107,0.5653608536927829,0.6105151434744702,0.3894848565255297,0.1156865974853127
R1_low_expansion_low_friction,27,cold_to_hot,16087,10357,2048,0.5646146286676962,0.6083421570110422,0.3916578429889578,0.11293079680176454
R1_low_expansion_low_friction,28,cold_to_hot,15910,10519,2133,0.5570338211609831,0.6019902379961406,0.3980097620038594,0.11821759130964918
