run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R3_intermediate,26,cold,4220,4037,5293,0.3114391143911439,0.5110815066004603,0.4889184933995398,0.5563965100388941
R3_intermediate,27,cold,4287,5307,3970,0.3160572102624595,0.4468417761100688,0.5531582238899312,0.4808041661620443
R3_intermediate,28,cold,4329,3981,5265,0.3188950276243094,0.5209386281588447,0.4790613718411552,0.5487804878048781
R3_intermediate,29,cold,4361,5404,3949,0.3179962082543386,0.44659498207885306,0.5534050179211469,0.47521058965102286
R3_intermediate,30,cold,4295,4010,5470,0.3117967332123412,0.5171583383503914,0.4828416616496087,0.5601638504864311
R3_intermediate,2,hot,14367,7284,5789,0.5235787172011662,0.6635721213800748,0.3364278786199252,0.2872097638420322
R3_intermediate,3,hot,16819,5927,4832,0.6098701863804482,0.7394267123889915,0.2605732876110085,0.2231767585792804
R3_intermediate,4,hot,17486,5140,5260,0.6270530015061321,0.7728277203217537,0.22717227967824627,0.23124945045282688
R3_intermediate,5,hot,17274,5084,5352,0.6233850595452906,0.77260935682977,0.2273906431702299,0.23654203129143464
R3_intermediate,6,hot,16932,5160,5426,0.6153063449378589,0.7664312873438349,0.23356871265616513,0.24268718132212183
R3_intermediate,7,hot,16786,5254,5306,0.6138374899436846,0.7616152450090744,0.2383847549909256,0.24017743979721165
R3_intermediate,8,hot,16769,4992,5271,0.6203388576501924,0.7705987776297045,0.22940122237029548,0.23915607985480944
R3_intermediate,9,hot,16877,5252,4884,0.6247732573205493,0.7626643770617741,0.23733562293822585,0.2244382151555535
R3_intermediate,10,hot,16868,4923,5261,0.6235398491793582,0.7740810426322794,0.2259189573677206,0.23774232907045054
R3_intermediate,11,hot,16825,5211,4966,0.6231019924450041,0.763523325467417,0.23647667453258306,0.2278922490936625
R3_intermediate,12,hot,16730,5070,5306,0.6172065225411348,0.7674311926605505,0.23256880733944954,0.24078780177890724
R3_intermediate,13,hot,16770,5111,5030,0.6231652484114303,0.7664183538229514,0.23358164617704857,0.23073394495412844
R3_intermediate,14,hot,16668,4972,5213,0.6207127695229583,0.7702402957486136,0.2297597042513863,0.2382432247155066
R3_intermediate,15,hot,16853,5172,4787,0.6285618379829927,0.7651759364358683,0.23482406356413166,0.22121072088724583
R3_intermediate,16,hot,16812,4977,5213,0.6226205466261758,0.771581990912846,0.22841800908715407,0.2366855845629966
R3_intermediate,17,hot,16962,5194,4827,0.6286180187525479,0.7655714027802852,0.23442859721971476,0.221533801459452
R3_intermediate,18,hot,16880,4911,5276,0.6236376399305428,0.7746317286953329,0.22536827130466708,0.23812962628633327
R3_intermediate,19,hot,16605,5354,5186,0.6117148646159514,0.756181975499795,0.24381802450020493,0.23798816024964434
R3_intermediate,20,hot,16750,5092,5209,0.6192007689179697,0.7668711656441718,0.2331288343558282,0.23721480941755088
R3_intermediate,21,hot,16957,5241,4885,0.626112321382417,0.7638976484367961,0.2361023515632039,0.22365168024906143
R3_intermediate,22,hot,16895,4862,5303,0.6243532889874354,0.776531690950039,0.22346830904996093,0.23889539598161996
R3_intermediate,23,hot,16950,5284,4807,0.6268259309936762,0.7623459566429792,0.23765404335702078,0.22094038700188445
R3_intermediate,24,hot,17150,4943,5084,0.6310483129116532,0.7762639750147106,0.22373602498528947,0.22865881083025996
R3_intermediate,25,hot,17118,5082,4975,0.6299172033118675,0.7710810810810811,0.2289189189189189,0.22518444756257638
R3_intermediate,26,hot,17147,4998,5053,0.6304507684388558,0.7743057123504177,0.2256942876495823,0.22761261261261262
R3_intermediate,27,hot,17154,5131,4991,0.6289045314562253,0.7697554408795154,0.23024455912048464,0.22537818920749605
R3_intermediate,28,hot,17196,4981,5089,0.6306755666397711,0.7753979347973126,0.22460206520268747,0.2283598833295939
