run,cycle,phase,contacts,Z_geom,mean_positive_overlap_m,overlap_p90_m,overlap_p99_m,orientation_entropy,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,cycle_births_during_overlap_filtration,cycle_birth_count,cycle_birth_positive_count,cycle_birth_overlap_median,cycle_birth_overlap_p90,cycle_birth_positive_fraction,force_proxy_q99_q50,force_proxy_gini,net_force_p99_N
R1_low_expansion_low_friction,30,hot,26461.0,5.234101473642568,1.300132281271034e-07,1.7609560970304958e-07,4.7619623060762345e-07,0.9289249732394848,0.4150258871546805,0.0008314122671100866,0.09286915240826822,0.16941944416971616,16493.0,16493.0,4088.0,0.0,8.501606306465288e-08,0.2478627296428788,14.686354182105903,0.6069306349707065,0.000233308595253
R3_intermediate,1,cold,15448.0,3.0556819305706657,4.76083086612173e-07,7.491953950069641e-07,1.1654043813986935e-06,0.9503363957337477,0.9584412221646815,0.002783531848783014,0.0023736524577193155,0.017406784689941647,7347.0,7347.0,3464.0,0.0,4.788813307334169e-07,0.47148495984755684,4.5418551237738205,0.441570043238511,0.00102625502152
R3_intermediate,1,hot,20156.0,3.986944911482544,2.7910533162741834e-07,3.1583873228346795e-07,9.296167460062036e-07,0.9229705937361181,0.29182377455844416,0.00019845207382417147,0.008802294530709128,0.04806646226881614,10378.0,10378.0,727.0,0.0,0.0,0.07005203314704182,14.64125373563364,0.6128524291896598,0.0017284897376456
R3_intermediate,2,cold,8081.0,1.5984571259024825,2.476593757561903e-07,2.6679450025731896e-07,5.954476983100873e-07,0.9346242011448337,,0.0003712411830219032,0.0008901196716447434,0.002769261200672535,1793.0,1793.0,73.0,0.0,0.0,0.04071388733965421,6.578892379556515,0.5108394885455919,0.0006546727805621
R3_intermediate,2,hot,21651.0,4.282662446840075,1.8139994770987755e-07,1.716674617633588e-07,5.925879756862569e-07,0.9217230760782914,0.23800286360907116,0.001570366264837652,0.040549896152704976,0.09336366333695975,11812.0,11812.0,699.0,0.0,0.0,0.05917710802573654,18.537807680519755,0.6499552321981675,0.000769447619599
R3_intermediate,3,cold,8480.0,1.6773810701216496,2.4376193873755674e-07,2.4579641954161994e-07,5.999680244523859e-07,0.9393888408834346,,0.004127358490566038,0.0014835327860745723,0.003065967757887449,1749.0,1749.0,53.0,0.0,0.0,0.030303030303030304,6.49181501564671,0.5169561489577144,0.0006389736775
R3_intermediate,3,hot,22746.0,4.499258233606962,3.8481549383172477e-07,5.893134831479185e-07,1.4693193378588715e-06,0.9329670385146185,0.29060054515079575,0.00021981886925173658,0.08317673820591436,0.15221046385125112,12886.0,12886.0,4314.0,0.0,3.058189662218016e-07,0.3347819338817321,13.505269220176396,0.5908427627069512,0.0012950392012624
R3_intermediate,4,cold,7664.0,1.5159727029967363,2.433996296040192e-07,2.450427135029581e-07,5.830195251161513e-07,0.9328326695418746,,0.0016962421711899792,0.0008901196716447434,0.0018791415290277916,1636.0,1636.0,41.0,0.0,0.0,0.02506112469437653,6.566897751163304,0.5131158333315586,0.0006435783454791
R3_intermediate,4,hot,22626.0,4.47552170902977,2.5981152422746415e-07,3.4578932641326967e-07,9.38810927865897e-07,0.9301581368276173,0.35768584813930876,4.419694157164324e-05,0.0700227475027198,0.13618830976164573,12731.0,12731.0,2422.0,0.0,1.2048714473139252e-07,0.19024428560207368,15.679033543773595,0.6129846739802896,0.0008354524425124
R3_intermediate,5,cold,8981.0,1.7764810602314312,2.519832805690059e-07,2.627745738525457e-07,6.026449714718289e-07,0.9410560622844234,0.9312994098652712,0.0071261552165683105,0.001087924043121353,0.0026703590149342303,1878.0,1878.0,86.0,0.0,0.0,0.04579339723109691,5.888651074035353,0.5033748469922362,0.0006621356902871
R3_intermediate,5,hot,22358.0,4.422510137474038,3.973527700968628e-07,6.107646332640607e-07,1.4423578635870551e-06,0.9343586651764495,0.4159137668843367,0.00022363359871187046,0.07566017208980319,0.14350707150628028,12614.0,12614.0,4452.0,0.0,3.2899640651665276e-07,0.35294117647058826,11.84496693610654,0.5753868952902386,0.0013426735957997
R3_intermediate,6,cold,7769.0,1.5367421620017803,2.5683017227369984e-07,2.903220770860207e-07,6.120564839503202e-07,0.9302538433603931,,0.00270305058566096,0.0012857284145979626,0.002175848086242706,1883.0,1883.0,96.0,0.0,0.0,0.050982474774296335,5.765794178197627,0.5050423306584247,0.0006382899601821
R3_intermediate,6,hot,22092.0,4.36989417466126,1.880869104285305e-07,1.8117305205121387e-07,6.083770058849132e-07,0.9263785419347155,0.2698714466775303,0.0003621220351258374,0.05222035406982494,0.10186925131045396,12254.0,12254.0,759.0,0.0,0.0,0.06193895870736086,17.425668698431746,0.6337529813495733,0.0006710466693013
