run,tag,regime_id,folder,cycle,phase,contacts,force_sum,force_mean,force_p99,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top1_edges,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,force_share_top1_edges,force_share_top5_edges,force_share_top10_edges,force_h1_births,force_h1_birth_fraction,force_h1_birth_force_share
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,30,cold,2013.0,0.5760608211253555,0.000286170303589347,0.0016838739023037404,,0.22702434177844014,0.0012368583797155227,0.0018552875695732839,0.0018552875695732839,0.07721565722959967,0.23976078851821248,0.3782640982253894,999.0,0.496274217585693,0.48866232271872245
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,30,hot,6881.0,1.1578678990839486,0.00016827029488213175,0.0011577181124182174,,0.05246330475221625,0.0006368074718743367,0.0010613457864572277,0.0010613457864572277,0.10932479448680099,0.30234175051373685,0.4487056023131205,3455.0,0.5021072518529284,0.48720825614051966
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,1,cold,6681.0,2.2436264643136123,0.0003358219524492759,0.0012751540047481415,,0.022900763358778626,0.0009225092250922509,0.0015375153751537515,0.002152521525215252,0.045782799178855596,0.1713980050456794,0.29114409390758916,3803.0,0.5692261637479419,0.5196890337531206
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,1,hot,42646.0,128.85078928119907,0.0030214038662758303,0.010387358832641917,0.09874314120902312,0.0013365849083149652,0.0007340604026845638,0.003355704697986577,0.03166946308724832,0.040259088449880784,0.1554537006141034,0.2697290221778401,33132.0,0.7769075646016039,0.6732731005179203
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,2,cold,6523.0,2.2071322211656987,0.00033836152401743044,0.0012532180189501966,,0.0021462517246665647,0.0015028554253080854,0.003005710850616171,0.004207995190862639,0.04254352783901043,0.1653196625673491,0.2855216389684112,3640.0,0.5580254484133068,0.5146415425679134
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,2,hot,29894.0,20.182810350580947,0.0006751458603927526,0.00360154538173569,0.1558172208469927,0.0002341607011440423,0.002566391430484267,0.014840437402365543,0.026779736665922784,0.06782258077185538,0.2145551286587352,0.33730241177776854,21046.0,0.7040208737539305,0.5974156156664251
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,3,cold,1923.0,0.42129002049202696,0.00021907957383880756,0.001093913245084287,,0.07020280811232449,0.001800720288115246,0.001800720288115246,0.0024009603841536613,0.06087915749647354,0.20962302413283787,0.3422522880755386,957.0,0.49765990639625585,0.48961075274806104
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,3,hot,15842.0,6.34832893851925,0.0004007277451407177,0.003123669932040289,0.48964777174599167,0.0058704709001388715,0.001266891891891892,0.010275900900900902,0.03476914414414414,0.10344522775751733,0.3251122893138934,0.48903536485936366,9229.0,0.5825653326600176,0.5259601831798048
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,4,cold,1834.0,0.40831043333435435,0.00022263382406453346,0.0011357664923995815,,0.4841875681570338,0.0012360939431396785,0.001854140914709518,0.001854140914709518,0.06103689409729966,0.21226994055765375,0.3455336825933232,910.0,0.4961832061068702,0.4891049098458093
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,4,hot,26483.0,15.289274952474868,0.0005773241306677819,0.0036943475047316984,0.21602537476871955,0.0001132802174980176,0.0021354846363744215,0.041760588444655355,0.09218175347016254,0.08179030913867845,0.2639878533920779,0.4058627555879774,18271.0,0.6899142846354265,0.5910007590103716
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,5,cold,1859.0,0.3905652677503637,0.0002100942806618417,0.0009633592355187025,,0.04195804195804196,0.0012746972594008922,0.0019120458891013384,0.0025493945188017845,0.061362109970063285,0.20922618646167318,0.3432112864140189,924.0,0.4970414201183432,0.4898513055501825
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,5,hot,27217.0,17.05415179709506,0.0006265992503617247,0.00411284433231528,0.23753536392695743,0.00018370871146709776,0.003206270039187745,0.05711910699441872,0.09808811305070657,0.08292407392399394,0.2546887433888138,0.38421174170468875,18977.0,0.6972480435022229,0.5995487389708778
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,6,cold,1761.0,0.42138854920581703,0.00023928935218956108,0.0010690195534306314,,0.1635434412265758,0.0012978585334198572,0.001946787800129786,0.001946787800129786,0.06609450613820465,0.2075323485583631,0.33868688736321967,874.0,0.49630891538898353,0.4899140025420774
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,6,hot,22593.0,10.839095197381207,0.00047975457873594506,0.00371529130273103,0.34802815031204354,0.0002213074846191298,0.0035,0.048625,0.093875,0.1085435814366791,0.3199932312876514,0.46879242031040436,14856.0,0.6575487983003585,0.5750890946974448
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,7,cold,3173.0,0.8672007523123458,0.00027330625663799115,0.0012070981814441136,,0.06366214938543965,0.0013049151805132667,0.0026098303610265334,0.003044802087864289,0.050323630114225235,0.19596885867244984,0.33448880876066084,1593.0,0.5020485345099275,0.4909616907197228
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,7,hot,24303.0,13.03971309116712,0.000536547467027409,0.003046743001562772,0.14162860552195203,0.0006172077521293668,0.0081138434652353,0.037074023218075146,0.07514667332417925,0.07388064733982934,0.22604248166219587,0.35126208235429196,16517.0,0.6796280294613833,0.583631627576364
G2_lossy_high_expansion_mid_friction,a150_mu030_g020,G2,a150_mu030_g020_c30,8,cold,2035.0,0.5197895993988324,0.00025542486456945083,0.0011941654959756688,,0.013267813267813268,0.0011641443538998836,0.0017462165308498253,0.0017462165308498253,0.0594562178048798,0.20952742310875125,0.3446028324126844,1009.0,0.4958230958230958,0.48979675301615855
