regime_id,cycle,response_amplitude,response_loop_cost_positive,response_loop_activation,response_imprint_efficiency,response_hazard_number,response_quality_number,response_overload_asinh,force_p99_hot_minus_cold,activation_eps,imprint_eps,log_activation,log_hazard,buffer_number,log_buffer_number,measured_overload_class,positive_overload,strong_overload
R6,3,6.0961938129547395,0.0243735372495049,0.1485858069802536,0.062044319478376,2.3947947762931343,0.4175627751838116,2.3744045704182644,0.0127349372677854,0.1485958069802536,0.062054319478376,-0.8279934451584203,0.37927011564856106,0.41753748466550517,-0.3792941281910495,severe overload,1,1
R6,4,4.1257288372103735,0.0229225009479202,0.0945720231818164,0.233376481017073,0.4052319991186207,2.4676855319344835,1.8197829605951816,0.0071836852381919,0.0945820231818164,0.23338648101707302,-1.0241914003300965,-0.3922855508728709,2.4674507180762038,0.3922502474375044,severe overload,1,1
R6,5,3.7654062898098544,0.0230525833936886,0.0868023425069612,0.007466230320144,11.624436208000423,0.0860131661352246,1.6532326667933246,0.0060167258233529,0.0868123425069612,0.007476230320143999,-1.0614185248050736,1.0653722721393333,0.08600424898735232,-1.065429598245002,severe overload,1,1
R6,6,3.4105836447014375,0.0200282499281788,0.0683080216370393,0.0084134908503173,8.117903133077087,0.1231680771980965,1.4566853449456516,0.0048525669191781,0.0683180216370393,0.0084234908503173,-1.1654647184981675,0.9094443997741805,0.12315185142533228,-0.9095237912063038,severe overload,1,1
R6,7,3.747195772183188,0.0261231079609487,0.0978883997075519,0.0110341781799166,8.87057717705936,0.112720868785401,1.4525058095130787,0.0048299990706585,0.0978983997075519,0.011044178179916599,-1.0092244073169847,0.9479523683454399,0.11271050612551964,-0.9479970698718472,severe overload,1,1
R6,8,3.914670361903672,0.0273627165195347,0.1071160153801944,0.0157001246973302,6.822187419376927,0.1465698483252651,1.4803674436227992,0.0049820535251848,0.1071260153801944,0.0157101246973302,-0.9701050486447025,0.8339242827795976,0.14655753452240192,-0.8339622175477089,severe overload,1,1
R6,9,3.862771646926503,0.0272538930991798,0.1052755655318776,0.0171182739994172,6.149534468311045,0.1626028918490305,1.5266275518890524,0.0052431180818223,0.1052855655318776,0.0171282739994172,-0.977631165752373,0.7888429463077676,0.16258899226061768,-0.7888821503594732,severe overload,1,1
R6,10,3.73781278776218,0.0269641739681775,0.1007870342696979,0.0072921750012089,13.819363206421166,0.0723515946515624,1.3706273326184693,0.0044044213878865,0.1007970342696979,0.0073021750012088995,-0.9965522458592744,1.1404883455587473,0.07234513449768343,-1.1405306448505363,severe overload,1,1
R6,11,3.888991922418747,0.0274131335622171,0.1066094549916485,0.0029878725607051,35.66878574658808,0.028026074562192,1.558603856419203,0.0054300983179338,0.1066194549916485,0.0029978725607051,-0.9721635417953411,1.5522884468925926,0.028023708815048246,-1.5523194419700939,severe overload,1,1
R6,12,3.478838739710337,0.0278830043303681,0.0970004756439956,0.0286928561288254,3.3805311913636573,0.2957981405780966,1.2908867558268455,0.0040183755021307,0.09701047564399559,0.0287028561288254,-1.0131813660560858,0.5289862321144527,0.2957706983534549,-0.5290301700013651,severe overload,1,1
